---------------------------------------------------
Graph of hardware hops
0	0
1	0
2	15
3	14
4	18
5	40
6	35
7	44
8	43
9	43
10	35
11	31
12	38
13	36
14	30
15	32
16	38
17	40
18	35
19	27
20	30
21	37
22	36
23	32
24	31
25	34
26	35
27	36
28	32
29	37
30	37
31	30
32	31
33	31
34	33
35	38
36	35
37	36
38	37
39	36
40	32
41	25
42	24
43	31
44	30
45	21
46	22
47	23
48	30
49	32
50	26
51	23
52	23
53	25
54	26
55	23
56	15
57	12
58	12
59	16
60	18
61	17
62	20
63	26
64	29
65	28
66	28
67	28
68	30
69	31
70	30
71	24
72	25
73	22
74	19
75	13
76	16
77	24
78	19
79	19
80	22
81	20
82	19
83	16
84	16
85	17
86	15
87	8
88	8
89	12
90	11
91	8
92	5
93	7
94	7
95	6
96	4
97	3
98	4
99	2
100	1
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	1
117	1
118	3
119	5
120	5
121	5
122	3
123	1
124	1
125	1
126	1
127	2
128	2
129	2
130	3
131	3
132	2
133	3
134	2
135	2
136	2
137	1
138	1
139	1
140	1
141	2
142	3
143	3
144	4
145	3
146	1
